threshold,Pair,Constant Return,Constant Num of Trades,Sliding Window Return,SW Num of Trades,Lagged Return,Lagged Num of Trades,Granger Causality Return,Granger Causality Num of Trades,Kalman Filter Return,KF Num of Trades
4.7e-08,0,11.97,193,40.91,221,47.84,242,48.63,124,84.25,105
4.7e-08,1,-32.65,253,-1.01,178,-13.67,205,11.1,139,40.81,124
4.7e-08,2,13.1,134,47.32,171,41.15,169,48.62,103,84.45,77
4.7e-08,3,-31.25,214,0.85,165,-12.06,188,11.49,134,49.6,90
4.7e-08,4,22.39,150,54.73,178,38.45,184,49.58,123,76.66,90
4.7e-08,5,-17.92,191,10.46,128,5.72,150,23.4,124,61.33,96
4.7e-08,6,-37.46,53,-7.03,30,-22.04,46,-34.99,26,-9.21,50

6.36e-08,0,19.52,216,53.11,255,53.53,277,52.62,146,96.83,120
6.36e-08,1,-33.97,283,-3.15,209,-24.62,243,6.17,161,46.96,140
6.36e-08,2,18.82,156,52.75,199,40.56,200,57.97,123,102.2,94
6.36e-08,3,-32.07,240,0.52,193,-20.87,219,6.48,162,57.12,107
6.36e-08,4,22.27,175,53.37,215,36.47,219,61.49,152,99.76,111
6.36e-08,5,-19.16,220,9.93,152,-5.52,179,21.27,148,69.1,116
6.36e-08,6,-35.97,59,-8.73,37,-25.15,56,-25.12,30,-12.88,58

8.83e-08,0,19.42,239,60.6,282,68.01,298,91.7,159,78.9,127
8.83e-08,1,-37.49,310,-5.19,235,-24.14,267,26.33,178,30.0,148
8.83e-08,2,19.31,182,59.67,224,54.3,222,105.62,141,82.23,102
8.83e-08,3,-37.58,266,-1.95,220,-20.69,247,22.11,177,38.77,116
8.83e-08,4,21.92,196,59.66,241,47.85,240,106.75,164,83.14,122
8.83e-08,5,-20.95,239,12.95,177,-5.75,201,39.38,162,51.16,123
8.83e-08,6,-35.14,60,-18.27,46,-22.77,59,-23.69,32,-12.11,59

1.29e-07,0,10.78,261,56.21,307,157.62,323,87.05,176,142.23,146
1.29e-07,1,-53.48,336,-14.07,264,7.76,294,16.53,197,65.04,167
1.29e-07,2,7.65,201,50.46,249,124.73,244,106.11,161,138.86,122
1.29e-07,3,-46.86,287,-8.9,243,11.59,272,23.24,195,75.58,133
1.29e-07,4,12.6,217,51.06,267,111.6,264,96.88,187,142.85,139
1.29e-07,5,-40.42,265,-0.86,201,34.21,226,32.24,183,90.84,144
1.29e-07,6,-41.38,69,-21.81,56,-25.34,70,-25.69,34,-13.22,67

2.13e-05,0,-3.23,288,48.58,342,153.27,353,112.57,192,178.18,153
2.13e-05,1,-61.04,358,-23.06,293,1.35,323,25.38,213,76.1,178
2.13e-05,2,3.91,225,44.4,277,126.45,270,129.25,180,172.68,133
2.13e-05,3,-55.28,309,-14.32,268,7.03,294,39.51,211,87.1,145
2.13e-05,4,2.55,241,47.2,294,105.24,291,117.2,201,150.06,152
2.13e-05,5,-49.45,287,-7.04,225,21.89,250,36.53,200,104.23,152
2.13e-05,6,-45.35,76,-25.25,67,-38.07,76,-30.55,37,-20.97,74
