sw,Pair,Constant Return,Constant Num of Trades,Sliding Window Return,SW Num of Trades,Lagged Return,Lagged Num of Trades,Granger Causality Return,Granger Causality Num of Trades,Kalman Filter Return,KF Num of Trades
7,0,22.17,404,51.07,329,35.37,357,76.74,238,24.51,358
7,1,-36.94,328,-11.1,273,-28.36,304,-1.24,316,-26.29,293
7,2,21.98,365,46.22,336,36.55,332,81.2,234,15.33,362
7,3,-37.99,323,-18.41,278,-27.56,293,-8.08,315,-35.34,306
7,4,26.57,377,44.93,351,40.61,344,83.2,255,23.04,334
7,5,-26.08,272,-6.36,231,-21.73,249,15.64,268,-21.64,239
7,6,-28.69,63,-21.68,67,-23.34,65,-15.51,31,-27.14,67
14,0,20.67,383,11.37,293,15.98,352,40.34,182,10.85,353
14,1,-31.36,318,-24.59,249,-38.72,287,-15.17,246,-34.4,277
14,2,17.74,327,10.62,283,6.0,311,38.23,186,6.88,311
14,3,-29.11,299,-35.09,268,-40.29,297,-20.65,256,-43.56,312
14,4,20.22,346,11.44,278,5.44,308,47.63,212,12.56,305
14,5,-18.27,251,-13.4,192,-29.71,242,-8.71,200,-28.11,231
14,6,-24.24,42,-17.09,45,-5.45,38,-38.81,32,-19.21,45
30,0,21.7,289,39.07,260,75.66,270,55.56,104,10.56,323
30,1,-32.05,318,-9.97,219,-4.4,238,21.47,133,-42.11,287
30,2,19.45,208,39.04,203,66.71,193,57.57,85,3.43,232
30,3,-26.54,274,-7.43,200,0.83,219,24.29,117,-39.39,241
30,4,15.12,245,36.08,217,52.09,206,60.98,104,8.4,257
30,5,-12.9,214,2.11,153,14.64,168,35.1,105,-30.14,218
30,6,-9.51,24,0.45,26,11.58,16,-23.72,21,-5.27,24
60,0,15.49,314,48.29,275,68.27,277,81.46,108,21.08,351
60,1,-28.12,303,-0.49,180,20.56,172,42.33,135,-34.99,259
60,2,22.48,100,40.32,92,67.63,83,77.25,50,13.72,147
60,3,-6.78,179,13.53,112,39.54,96,56.08,68,-22.19,154
60,4,25.23,170,47.71,139,67.1,120,83.36,106,13.69,209
60,5,7.16,141,25.91,80,48.06,76,48.56,135,-0.08,97
60,6,-7.53,23,2.65,25,14.05,15,-20.65,17,-3.21,23
90,0,16.48,238,47.27,289,64.32,295,87.31,71,30.49,287
90,1,-17.54,208,8.0,149,26.89,144,63.94,75,-15.39,176
90,2,28.08,56,42.63,42,71.1,33,92.23,36,14.67,46
90,3,10.77,78,30.97,45,57.71,35,67.33,53,0.61,59
90,4,32.25,137,55.26,106,76.89,103,93.72,73,30.26,126
90,5,12.99,91,33.69,54,55.5,56,76.43,36,7.44,61
90,6,-7.53,23,2.65,25,14.05,15,-20.65,17,-3.21,23
